Time, PositionX, PositionY, PositionZ, PositionRX, PositionRY, PositionRZ, PositionJ1, PositionJ2, PositionJ3, PositionJ4, PositionJ5, PositionJ6
2024-11-07 16:41:26.503, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:27.011, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:27.519, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:28.026, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:28.535, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:29.049, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:29.566, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:30.072, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:30.583, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:31.093, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:31.604, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:32.115, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:32.626, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:33.143, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:33.657, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:34.161, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:34.669, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:35.187, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:35.698, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:36.209, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:36.719, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:37.232, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:37.739, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:38.251, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:38.767, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:39.277, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:39.791, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:40.291, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:40.809, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:41.320, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:41.832, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:42.334, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
